ID	Heure de début	Heure de fin	Adresse de messagerie	Nom	Quelle est votre connaissance, à priori, du DevOps ?	Selon vous, que permet le DevOps ?	Selon vous, pour faire du DevOps, il faut quoi ?	Avez-vous un intérêt pour le DevOps ?	Mon secteur/groupe
65	6-3-21 18:03:51	6-3-21 21:53:55	anonymous		1	"Réduire le coût de livraison;Réduire les interventions humaines dans la livraison;Augmenter la fiabilité des systèmes;Augmenter la qualité;Adopter une culture ""lean"";Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Améliorer la maintenance des logiciels;Réduire le temps de livraison au client;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;De la formation DevOps;Une vision DevOps;Une équipe dédiée;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une culture DevOps;Des tests automatisés;Une infrastructure Cloud;Une gestion des configurations;Une gestion des données de tests;Briser les silos entre les équipes DEV / Projets / Outils ...;"	1	DEV - Algo
66	6-4-21 1:28:30	6-4-21 1:29:15	anonymous		2	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire le coût de livraison;"	"Des outils de monitoring;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une culture DevOps;Des tests automatisés;Une gestion des données de tests;"	1	DEV - Algo
67	6-4-21 7:15:38	6-4-21 7:22:32	anonymous		2	"Augmenter la qualité;Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Réduire le coût de livraison;Augmenter la fiabilité des systèmes;"	"Une vision DevOps;Des tests automatisés;Briser les silos entre les équipes DEV / Projets / Outils ...;Des outils d'automatisation d'intégration;De la formation DevOps;Une architecture logicielle adéquate;Une gestion des configurations;Une gestion des données de tests;"	5	DEV - Applicatif
68	6-4-21 7:44:47	6-4-21 7:48:37	anonymous		3	"Augmenter la qualité;Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;"	"De la formation DevOps;Une vision DevOps;Une équipe dédiée;Des tests automatisés;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Des outils d'automatisation d'intégration;Une gestion des données de tests;"	5	Projets
69	6-4-21 8:23:33	6-4-21 8:26:29	anonymous		1	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Augmenter la fiabilité des systèmes;"	"Briser les silos entre les équipes DEV / Projets / Outils ...;Une infrastructure Cloud;Des outils d'automatisation de déploiement;"	2	DEV - Applicatif
70	6-4-21 8:27:14	6-4-21 8:28:36	anonymous		4	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;Augmenter la fiabilité des systèmes;Adopter une culture ""lean"";"	"Des outils d'automatisation d'intégration;Des outils de monitoring;De la formation DevOps;Une vision DevOps;Une équipe dédiée;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une culture DevOps;Des tests automatisés;Une gestion des configurations;Briser les silos entre les équipes DEV / Projets / Outils ...;Une gestion des données de tests;"	4	DEV - Plateforme et outils
71	6-4-21 8:26:57	6-4-21 8:29:18	anonymous		4	"Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Réduire les interventions humaines dans la livraison;Augmenter la fiabilité des systèmes;Réduire le temps de livraison au client;"	"Des outils d'automatisation d'intégration;Une équipe dédiée;Briser les silos entre les équipes DEV / Projets / Outils ...;Des outils de monitoring;Une architecture logicielle adéquate;"	5	DEV - Plateforme et outils
72	6-4-21 8:28:09	6-4-21 8:29:56	anonymous		5	"Améliorer la maintenance des logiciels;Augmenter la qualité;Augmenter la fiabilité des systèmes;"	"Une vision DevOps;Une équipe dédiée;Une architecture logicielle adéquate;Une culture DevOps;Des tests automatisés;Une gestion des données de tests;Briser les silos entre les équipes DEV / Projets / Outils ...;Des outils d'automatisation d'intégration;Des outils de monitoring;"	5	DEV - Plateforme et outils
73	6-4-21 8:33:39	6-4-21 8:35:17	anonymous		3	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Réduire le temps de livraison au client;Augmenter la fiabilité des systèmes;"	"Une vision DevOps;Une culture DevOps;Briser les silos entre les équipes DEV / Projets / Outils ...;"	5	DEV - Applicatif
74	6-4-21 8:51:05	6-4-21 8:52:37	anonymous		3	"Réduire le temps de livraison au client;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Adopter une culture ""lean"";Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;De la formation DevOps;Une vision DevOps;Une équipe dédiée;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une culture DevOps;Des tests automatisés;Une infrastructure Cloud;Une gestion des données de tests;Briser les silos entre les équipes DEV / Projets / Outils ...;"	5	DEV - Applicatif
75	6-4-21 8:55:32	6-4-21 8:57:13	anonymous		3	"Réduire le temps de livraison au client;Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"Briser les silos entre les équipes DEV / Projets / Outils ...;"	4	DEV - Algo
76	6-4-21 9:02:36	6-4-21 9:04:57	anonymous		2	"Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;Augmenter la fiabilité des systèmes;Réduire le temps de livraison au client;Augmenter la qualité;"	"Des outils d'automatisation d'intégration;De la formation DevOps;Des outils d'automatisation de déploiement;Des tests automatisés;Une gestion des configurations;Une gestion des données de tests;"	2	DEV - Applicatif
77	6-4-21 9:03:43	6-4-21 9:05:22	anonymous		3	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Augmenter la fiabilité des systèmes;Améliorer la maintenance des logiciels;"	"Une vision DevOps;Une culture DevOps;Briser les silos entre les équipes DEV / Projets / Outils ...;"	3	DEV - Plateforme et outils
78	6-4-21 8:56:46	6-4-21 9:07:41	anonymous		3	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Adopter une culture ""lean"";Améliorer la maintenance des logiciels;Augmenter la qualité;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;Une vision DevOps;Une culture DevOps;"	4	DEV - Plateforme et outils
79	6-4-21 9:10:04	6-4-21 9:10:47	anonymous		1	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Adopter une culture ""lean"";Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"De la formation DevOps;"	4	DEV - Applicatif
80	6-4-21 9:11:02	6-4-21 9:12:03	anonymous		1	"Réduire le temps de livraison au client;"	"Une vision DevOps;"	1	DEV - Applicatif
81	6-4-21 9:10:53	6-4-21 9:12:07	anonymous		2	"Réduire le temps de livraison au client;"	"Des outils d'automatisation d'intégration;De la formation DevOps;Une vision DevOps;Une architecture logicielle adéquate;Une culture DevOps;Des tests automatisés;"	4	DEV - Applicatif
82	6-4-21 9:10:48	6-4-21 9:12:47	anonymous		3	"Réduire le temps de livraison au client;Réduire le coût de livraison;Augmenter la qualité;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;De la formation DevOps;Une vision DevOps;Une architecture logicielle adéquate;Une culture DevOps;Des outils d'automatisation de déploiement;"	5	DEV - Applicatif
83	6-4-21 9:10:31	6-4-21 9:13:06	anonymous		2	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Réduire le temps de livraison au client;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;Améliorer la maintenance des logiciels;"	"Des outils d'automatisation d'intégration;De la formation DevOps;Des outils d'automatisation de déploiement;Des tests automatisés;Briser les silos entre les équipes DEV / Projets / Outils ...;Une vision DevOps;"	3	DEV - Applicatif
84	6-4-21 9:11:01	6-4-21 9:13:25	anonymous		1	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire le coût de livraison;Réduire les interventions humaines dans la livraison;Adopter une culture ""lean"";"	"Briser les silos entre les équipes DEV / Projets / Outils ...;Une gestion des données de tests;Une gestion des configurations;Une infrastructure Cloud;Des tests automatisés;Une culture DevOps;Des outils d'automatisation de déploiement;Une architecture logicielle adéquate;Une équipe dédiée;Une vision DevOps;De la formation DevOps;Des outils de monitoring;Des outils d'automatisation d'intégration;"	2	DEV - Applicatif
85	6-3-21 16:36:20	6-4-21 9:25:32	anonymous		2	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;De la formation DevOps;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une culture DevOps;Des tests automatisés;Briser les silos entre les équipes DEV / Projets / Outils ...;"	4	DEV - Algo
86	6-4-21 9:31:47	6-4-21 9:35:36	anonymous		3	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Augmenter la qualité;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Réduire le coût de livraison;Augmenter la fiabilité des systèmes;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une culture DevOps;Une vision DevOps;Des tests automatisés;Briser les silos entre les équipes DEV / Projets / Outils ...;De la formation DevOps;Une gestion des données de tests;Une gestion des configurations;"	3	DEV - Algo
87	6-4-21 9:44:16	6-4-21 9:45:14	anonymous		1	"Augmenter la fiabilité des systèmes;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";"	"Des outils d'automatisation d'intégration;De la formation DevOps;"	1	Projets
88	6-4-21 9:29:14	6-4-21 9:48:44	anonymous		3	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Réduire le temps de livraison au client;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;De la formation DevOps;Une vision DevOps;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Des tests automatisés;Une culture DevOps;Briser les silos entre les équipes DEV / Projets / Outils ...;"	4	DEV - Plateforme et outils
89	6-4-21 8:27:00	6-4-21 10:03:39	anonymous		2	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Augmenter la qualité;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"De la formation DevOps;Une vision DevOps;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Des tests automatisés;Briser les silos entre les équipes DEV / Projets / Outils ...;"	3	DEV - Plateforme et outils
90	6-4-21 10:38:32	6-4-21 10:40:47	anonymous		3	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Réduire les interventions humaines dans la livraison;Adopter une culture ""lean"";Réduire le temps de livraison au client;"	"De la formation DevOps;Une vision DevOps;Une équipe dédiée;Des outils d'automatisation de déploiement;Une architecture logicielle adéquate;Une gestion des données de tests;Des tests automatisés;Une culture DevOps;Des outils d'automatisation d'intégration;"	5	DEV - Plateforme et outils
91	6-4-21 11:04:03	6-4-21 11:07:23	anonymous		3	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire le coût de livraison;Réduire les interventions humaines dans la livraison;"	"Des outils de monitoring;Une vision DevOps;Une architecture logicielle adéquate;Une culture DevOps;Des tests automatisés;Briser les silos entre les équipes DEV / Projets / Outils ...;Une gestion des données de tests;Des outils d'automatisation de déploiement;Des outils d'automatisation d'intégration;"	3	DEV - Plateforme et outils
92	6-4-21 11:11:03	6-4-21 11:13:38	anonymous		2	"Réduire le temps de livraison au client;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Réduire le coût de livraison;Réduire les interventions humaines dans la livraison;Augmenter la qualité;"	"Des outils d'automatisation d'intégration;Des tests automatisés;Briser les silos entre les équipes DEV / Projets / Outils ...;Une gestion des données de tests;Une architecture logicielle adéquate;"	4	DEV - Algo
93	6-4-21 11:12:36	6-4-21 11:15:07	anonymous		1	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;"	"Des outils de monitoring;De la formation DevOps;Une vision DevOps;Une culture DevOps;"	3	DEV - Applicatif
94	6-4-21 11:22:55	6-4-21 11:24:46	anonymous		4	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Adopter une culture ""lean"";Augmenter la qualité;Augmenter la fiabilité des systèmes;"	"De la formation DevOps;Une vision DevOps;Une architecture logicielle adéquate;Une culture DevOps;Une gestion des données de tests;Briser les silos entre les équipes DEV / Projets / Outils ...;Une gestion des configurations;"	5	Projets
95	6-4-21 11:31:14	6-4-21 11:32:29	anonymous		3	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Réduire le temps de livraison au client;Adopter une culture ""lean"";Augmenter la qualité;Réduire les interventions humaines dans la livraison;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;De la formation DevOps;Une vision DevOps;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une culture DevOps;Des tests automatisés;Une infrastructure Cloud;Une gestion des configurations;Briser les silos entre les équipes DEV / Projets / Outils ...;"	4	DEV - Plateforme et outils
96	6-4-21 11:03:36	6-4-21 11:39:40	anonymous		3	"Réduire le temps de livraison au client;Réduire le coût de livraison;Réduire les interventions humaines dans la livraison;Augmenter la fiabilité des systèmes;Adopter une culture ""lean"";Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Améliorer la maintenance des logiciels;Augmenter la qualité;"	"Des outils de monitoring;De la formation DevOps;Une vision DevOps;Des outils d'automatisation d'intégration;Une équipe dédiée;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une culture DevOps;Des tests automatisés;Une gestion des configurations;Une gestion des données de tests;Briser les silos entre les équipes DEV / Projets / Outils ...;"	4	DEV - Plateforme et outils
97	6-4-21 11:26:02	6-4-21 11:44:48	anonymous		2	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;De la formation DevOps;Une vision DevOps;Une équipe dédiée;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Des tests automatisés;Une gestion des configurations;Une gestion des données de tests;Une culture DevOps;"	4	DEV - Algo
98	6-4-21 12:21:07	6-4-21 12:23:11	anonymous		1	"Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;De la formation DevOps;Une vision DevOps;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Des tests automatisés;Briser les silos entre les équipes DEV / Projets / Outils ...;Une équipe dédiée;"	3	DEV - Applicatif
99	6-4-21 12:23:23	6-4-21 12:25:45	anonymous		1	"Réduire le temps de livraison au client;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"Des outils d'automatisation d'intégration;De la formation DevOps;Une vision DevOps;Une architecture logicielle adéquate;Des tests automatisés;"	5	DEV - Applicatif
100	6-4-21 12:45:22	6-4-21 12:47:29	anonymous		3	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"Des outils de monitoring;De la formation DevOps;Une équipe dédiée;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une culture DevOps;Des tests automatisés;Une gestion des configurations;Briser les silos entre les équipes DEV / Projets / Outils ...;"	3	DEV - Plateforme et outils
101	6-3-21 17:54:21	6-4-21 12:50:15	anonymous		3	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Adopter une culture ""lean"";Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"De la formation DevOps;Une vision DevOps;Une équipe dédiée;Une architecture logicielle adéquate;Une culture DevOps;Une gestion des configurations;"	2	DEV - Applicatif
102	6-4-21 10:01:23	6-4-21 13:01:06	anonymous		2	"Augmenter la qualité;Augmenter la fiabilité des systèmes;"	"Une gestion des données de tests;Une gestion des configurations;"	2	DEV - Algo
103	6-4-21 13:11:12	6-4-21 13:12:09	anonymous		2	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Adopter une culture ""lean"";Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;De la formation DevOps;Une vision DevOps;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une culture DevOps;Des tests automatisés;Une gestion des configurations;Une gestion des données de tests;Briser les silos entre les équipes DEV / Projets / Outils ...;"	3	DEV - Applicatif
104	6-4-21 13:18:39	6-4-21 13:19:31	anonymous		1	"Réduire le temps de livraison au client;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Réduire le coût de livraison;"	"Des outils d'automatisation d'intégration;Une vision DevOps;De la formation DevOps;Une culture DevOps;Des tests automatisés;"	5	Projets
105	6-4-21 13:40:00	6-4-21 13:42:01	anonymous		1	"Réduire le coût de livraison;"	"Briser les silos entre les équipes DEV / Projets / Outils ...;"	1	DEV - Applicatif
106	6-4-21 8:14:43	6-4-21 13:59:07	anonymous		4	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Réduire le coût de livraison;"	"Des outils d'automatisation d'intégration;Une vision DevOps;Une équipe dédiée;Des outils d'automatisation de déploiement;Briser les silos entre les équipes DEV / Projets / Outils ...;"	5	DEV - Plateforme et outils
107	6-4-21 13:58:36	6-4-21 14:00:40	anonymous		2	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Réduire le temps de livraison au client;Augmenter la qualité;"	"Des outils d'automatisation d'intégration;De la formation DevOps;Des tests automatisés;Briser les silos entre les équipes DEV / Projets / Outils ...;Des outils d'automatisation de déploiement;"	3	DEV - Algo
108	6-4-21 17:47:15	6-4-21 17:49:19	anonymous		3	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Adopter une culture ""lean"";Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;Des tests automatisés;Des outils d'automatisation de déploiement;Une vision DevOps;De la formation DevOps;Briser les silos entre les équipes DEV / Projets / Outils ...;"	4	DEV - Applicatif
109	6-7-21 9:28:41	6-7-21 9:30:26	anonymous		4	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;Augmenter la fiabilité des systèmes;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;Une vision DevOps;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Des tests automatisés;Une gestion des configurations;Une gestion des données de tests;Briser les silos entre les équipes DEV / Projets / Outils ...;"	4	DEV - Applicatif
110	6-7-21 10:24:26	6-7-21 10:26:32	anonymous		1	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";"	"Briser les silos entre les équipes DEV / Projets / Outils ...;"	3	Projets
111	6-7-21 10:31:53	6-7-21 10:33:16	anonymous		3	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"Des outils d'automatisation d'intégration;Une équipe dédiée;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une gestion des configurations;"	2	DEV - Algo
112	6-7-21 13:29:14	6-7-21 13:31:42	anonymous		2	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"Des tests automatisés;Une gestion des données de tests;"	2	DEV - Applicatif
113	6-7-21 13:39:53	6-7-21 13:41:37	anonymous		3	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Réduire le coût de livraison;Réduire le temps de livraison au client;Réduire les interventions humaines dans la livraison;"	"Des outils d'automatisation d'intégration;Briser les silos entre les équipes DEV / Projets / Outils ...;Une culture DevOps;Des outils d'automatisation de déploiement;Une vision DevOps;"	3	DEV - Applicatif
114	6-7-21 13:40:09	6-7-21 13:41:55	anonymous		3	"Réduire le temps de livraison au client;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"Une architecture logicielle adéquate;Des outils d'automatisation d'intégration;Des outils d'automatisation de déploiement;Une culture DevOps;Des tests automatisés;Une gestion des données de tests;"	5	DEV - Applicatif
115	6-7-21 13:55:11	6-7-21 13:56:48	anonymous		3	"Réduire le temps de livraison au client;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";"	"De la formation DevOps;Une vision DevOps;Une culture DevOps;"	3	DEV - Applicatif
116	6-7-21 18:55:57	6-7-21 18:59:18	anonymous		2	"Réduire le temps de livraison au client;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Améliorer la maintenance des logiciels;Augmenter la fiabilité des systèmes;Adopter une culture ""lean"";Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;De la formation DevOps;Une vision DevOps;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une culture DevOps;Des tests automatisés;Une gestion des données de tests;Briser les silos entre les équipes DEV / Projets / Outils ...;"	4	DEV - Applicatif
117	6-8-21 5:09:46	6-8-21 5:10:33	anonymous		2	"Réduire le temps de livraison au client;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Améliorer la maintenance des logiciels;Adopter une culture ""lean"";Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;Une vision DevOps;De la formation DevOps;Une équipe dédiée;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une culture DevOps;Des tests automatisés;Une infrastructure Cloud;Une gestion des configurations;Une gestion des données de tests;Briser les silos entre les équipes DEV / Projets / Outils ...;"	4	DEV - Applicatif
118	6-8-21 9:06:25	6-8-21 9:08:25	anonymous		2	"Améliorer la maintenance des logiciels;Réduire les interventions humaines dans la livraison;Augmenter la fiabilité des systèmes;"	"De la formation DevOps;Une vision DevOps;Une équipe dédiée;Des outils d'automatisation de déploiement;Des outils de monitoring;Des outils d'automatisation d'intégration;Une culture DevOps;Des tests automatisés;Une architecture logicielle adéquate;Une gestion des configurations;Une gestion des données de tests;"	1	DEV - Applicatif
119	6-8-21 9:24:01	6-8-21 9:25:48	anonymous		1	"Réduire le temps de livraison au client;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la fiabilité des systèmes;"	"De la formation DevOps;Une culture DevOps;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Des tests automatisés;Une gestion des configurations;Une gestion des données de tests;Des outils d'automatisation d'intégration;"	4	DEV - Applicatif
120	6-8-21 9:34:05	6-8-21 9:35:07	anonymous		2	"Améliorer la maintenance des logiciels;Augmenter la qualité;Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;Une vision DevOps;Une équipe dédiée;Des outils d'automatisation de déploiement;Une culture DevOps;Des tests automatisés;Une gestion des données de tests;"	1	DEV - Applicatif
121	6-8-21 14:00:11	6-8-21 14:02:04	anonymous		3	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Adopter une culture ""lean"";Augmenter la qualité;Réduire le coût de livraison;Réduire les interventions humaines dans la livraison;Augmenter la fiabilité des systèmes;"	"Des outils d'automatisation d'intégration;Des outils de monitoring;De la formation DevOps;Une vision DevOps;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Une culture DevOps;Des tests automatisés;Briser les silos entre les équipes DEV / Projets / Outils ...;"	5	Projets
122	6-8-21 20:46:34	6-8-21 20:49:32	anonymous		1	"Augmenter la qualité;Augmenter la fiabilité des systèmes;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Améliorer la maintenance des logiciels;"	"Des outils d'automatisation d'intégration;Une vision DevOps;Des outils d'automatisation de déploiement;Une culture DevOps;Des tests automatisés;Une gestion des configurations;Une gestion des données de tests;Briser les silos entre les équipes DEV / Projets / Outils ...;"	3	Projets
123	6-10-21 9:23:20	6-10-21 9:25:43	anonymous		2	"Réduire les interventions humaines dans la livraison;Réduire le coût de livraison;Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la fiabilité des systèmes;"	"De la formation DevOps;"	2	DEV - Applicatif
124	6-11-21 10:57:25	6-11-21 10:59:47	anonymous		1	"Réduire le temps de livraison au client;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Adopter une culture ""lean"";"	"De la formation DevOps;Une vision DevOps;Une équipe dédiée;Une culture DevOps;Des tests automatisés;Briser les silos entre les équipes DEV / Projets / Outils ...;"	3	Projets
125	6-11-21 10:58:49	6-11-21 10:59:52	anonymous		3	"Réduire le temps de livraison au client;Améliorer la maintenance des logiciels;Réduire le coût de livraison;Réduire les interventions humaines dans la livraison;Augmenter la fiabilité des systèmes;Augmenter la qualité;"	"Des outils de monitoring;De la formation DevOps;Une vision DevOps;Une architecture logicielle adéquate;Une culture DevOps;Des tests automatisés;Une infrastructure Cloud;Une gestion des configurations;"	5	Projets
126	6-11-21 10:59:34	6-11-21 11:01:21	anonymous		3	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";Augmenter la qualité;Réduire le coût de livraison;"	"Des outils d'automatisation d'intégration;"	5	Projets
127	6-11-21 11:00:56	6-11-21 11:02:30	anonymous		2	"Améliorer la maintenance des logiciels;Encourage la collaboration et la communication entre les DEV et les ""Opérations"";"	"Des outils de monitoring;De la formation DevOps;Une vision DevOps;Une culture DevOps;Des tests automatisés;Une gestion des données de tests;"	5	Projets
128	6-11-21 11:02:41	6-11-21 11:05:10	anonymous		2	"Encourage la collaboration et la communication entre les DEV et les ""Opérations"";"	"Des outils d'automatisation d'intégration;Des outils d'automatisation de déploiement;De la formation DevOps;Une vision DevOps;"	3	Projets
129	6-11-21 11:00:16	6-11-21 11:05:30	anonymous		1	"Augmenter la fiabilité des systèmes;Réduire les interventions humaines dans la livraison;Réduire le temps de livraison au client;Réduire le coût de livraison;Augmenter la qualité;Améliorer la maintenance des logiciels;Adopter une culture ""lean"";Encourage la collaboration et la communication entre les DEV et les ""Opérations"";"	"Des outils de monitoring;Des outils d'automatisation d'intégration;De la formation DevOps;Une architecture logicielle adéquate;Des outils d'automatisation de déploiement;Des tests automatisés;Briser les silos entre les équipes DEV / Projets / Outils ...;Une vision DevOps;Une équipe dédiée;Une culture DevOps;Une gestion des configurations;Une gestion des données de tests;"	4	Projets
